Time,Ax,Ay,Az
8.02,-12912,5424,13372
8.04,-13072,5232,13380
8.06,-12972,5328,13244
8.08,-13192,5552,13348
8.1,-13092,5476,13240
8.12,-13040,5424,13196
8.14,-12948,5604,13264
8.16,-12832,5496,13512
8.18,-12852,5440,13472
8.2,-12964,5372,13332
8.22,-12972,5504,13340
8.24,-12924,5368,13224
8.26,-13148,5496,13172
8.28,-12992,5536,13308
8.3,-12948,5504,13384
8.32,-13092,5396,13328
8.34,-12972,5464,13376
8.36,-12952,5544,13352
8.38,-12964,5536,13440
8.4,-13048,5540,13184
8.42,-12904,5556,13364
8.44,-13052,5460,13304
8.46,-13124,5564,13304
8.48,-12912,5368,13360
8.5,-12900,5444,13296
8.52,-12920,5532,13264
8.54,-12892,5480,13360
8.56,-13052,5500,13216
8.58,-13060,5584,13264
8.6,-13184,5460,13132
8.62,-12912,5620,13528
8.64,-12788,5604,13336
8.66,-12956,5512,13320
8.68,-12928,5384,13312
8.7,-13056,5456,13224
8.72,-13096,5316,13252
8.74,-13132,5384,13340
8.76,-12944,5472,13368
8.78,-12916,5476,13416
8.8,-12900,5496,13336
8.82,-13044,5504,13384
8.84,-13068,5428,13316
8.86,-13072,5512,13404
8.88,-13044,5528,13424
8.9,-12912,5440,13376
8.92,-13176,5548,13384
8.94,-12904,5452,13384
8.96,-12988,5556,13320
8.98,-12952,5560,13276
9.0,-12948,5592,13252
9.02,-13048,5472,13276
9.04,-12964,5488,13392
9.06,-13252,5516,13468
9.08,-13048,5628,13428
9.1,-12972,5480,13236
9.12,-13100,5464,13232
9.14,-13016,5512,13348
9.16,-12968,5616,13476
9.18,-12792,5316,13396
9.2,-13048,5552,13308
9.22,-13128,5536,13320
9.24,-13072,5608,13324
9.26,-13132,5568,13288
9.28,-13104,5624,13196
9.3,-13116,5464,13344
9.32,-12984,5368,13420
9.34,-13044,5504,13472
9.36,-12824,5596,13576
9.38,-13004,5368,13116
9.4,-12956,5232,12944
9.42,-13060,5384,13296
9.44,-13088,5596,13388
9.46,-12796,5652,13364
9.48,-12780,5512,13340
9.5,-13056,5476,13224
9.52,-13244,5464,13368
9.54,-13024,5440,13240
9.56,-13044,5552,13320
9.58,-12956,5560,13368
9.6,-12960,5584,13248
9.62,-13024,5548,13372
9.64,-13188,5572,13148
9.66,-13016,5492,13248
9.68,-13088,5572,13232
9.7,-13088,5632,13292
9.72,-12988,5628,13280
9.74,-13164,5460,13468
9.76,-13028,5524,13464
9.78,-12924,5404,13368
9.8,-12928,5476,13236
9.82,-13012,5528,13192
9.84,-13136,5580,13124
9.86,-13372,5680,13292
9.88,-13208,5796,13500
9.9,-13000,5748,13272
9.92,-12936,5520,13160
9.94,-13008,5412,13196
9.96,-12932,5500,13260
9.98,-13096,5576,13356
10.0,-12968,5556,13372
10.02,-12848,5416,13372
10.04,-13128,5452,13220
10.06,-13072,5452,13180
10.08,-13064,5584,13272
10.1,-12924,5488,13292
10.12,-12980,5440,13176
10.14,-13028,5480,13192
10.16,-12956,5492,13524
10.18,-13080,5596,13340
10.2,-13076,5472,13196
10.22,-13068,5464,13100
10.24,-13068,5484,13260
10.26,-13092,5540,13328
10.28,-13068,5604,13440
10.3,-13024,5496,13428
10.32,-12940,5540,13344
10.34,-12960,5544,13128
10.36,-13060,5568,13028
10.38,-13176,5548,13040
10.4,-13104,5516,13272
10.42,-13092,5648,13312
10.44,-12980,5572,13340
10.46,-12844,5372,13384
10.48,-13024,5380,13124
10.5,-13216,5584,13168
10.52,-13148,5608,13264
10.54,-12944,5632,13212
